Feature,Importance
median_income,0.49116924186024724
ocean_proximity_INLAND,0.14199358352583485
population_per_household,0.12062211130089795
longitude,0.07688197350422943
latitude,0.06247595088306587
housing_median_age,0.040402876301056094
rooms_per_household,0.019559915157371405
bedrooms_per_room,0.012639717044462482
population,0.007973010639952864
total_rooms,0.007188576143523761
total_bedrooms,0.0062074414030285725
households,0.006110976392641049
ocean_proximity_NEAR OCEAN,0.0027499550650502483
ocean_proximity_<1H OCEAN,0.0023865447804865755
ocean_proximity_NEAR BAY,0.001558799495056536
ocean_proximity_ISLAND,7.93265030950766e-05
